index,MonsterID,Step,Phase,desc
27,B-G003-MAIN,2,교전 수칙,"약점은 [현실 조작]. '차원 안정화 장치(S-005)'를 작동시키면, 일시적으로 보스의 방어막을 무력화하고 큰 피해를 줄 수 있는 '현실의 균열'이 생성됨."
28,B-G003-MAIN,3,특수 패턴 대응,"'차원 붕괴' 시전 시, 맵 중앙을 제외한 모든 공간이 즉사 판정의 공허로 변함. 즉시 중앙으로 집결할 것."
29,B-G003-MAIN,4,사후 처리,"보스 처치 후에도 공간이 완전히 안정될 때까지 대기. 불안정한 차원의 파편에 휘말릴 위험이 있음."30,M-ETC006,1,초기 대응,"대상은 B급 '태엽톱니 파수병'. 정면 공격은 대부분 방패에 막히므로, 탱커가 어그로를 끄는 동안 딜러가 측후방을 노리는 것이 기본 전술."
31,M-ETC006,2,교전 수칙,'방패치기'는 높은 피해와 스턴을 유발하므로 반드시 회피. [전격] 속성 공격은 일시적 경직을 유발하여 공격 기회를 만들 수 있음.
32,M-ETC007,1,초기 대응,대상은 C급 '기어다니는 색인기'. 개체는 약하지만 수가 많고 '추적 색인' 디버프가 위협적. 광역 스킬로 최우선 제거 필요.
33,M-ETC007,2,교전 수칙,'추적 색인'에 걸린 아군은 즉시 서포터가 해제해야 함. 방치 시 모든 파수병의 집중 공격을 받게 됨.
34,B-G004-SUB,1,초기 대응,"중간 보스 '해체된 관리인'은 공격 속도가 매우 빠르고 예측이 힘듦. 탱커는 생존에 집중하고, 딜러는 원거리에서 관절부를 집중 공격해야 함."
35,B-G004-SUB,2,핵심 패턴 대응,"'파편 폭풍' 패턴 시전 시, 맵의 기둥 뒤로 숨어 광역 피해를 회피해야 함. 모든 관절 파괴 시 긴 시간 동안 무력화됨."
36,B-G004-MAIN,1,초기 대응,최종 보스 '부식된 사서장'은 주기적으로 '기어다니는 색인기'를 소환함. 딜러진 일부는 소환수 처리를 전담하여 전장 복잡도를 관리해야 함.
37,B-G004-MAIN,2,핵심 패턴 대응,'강제 폐기' 패턴은 대상자에게 [전격] 속성 공격을 집중하여 빠르게 풀어주는 것이 핵심. [성속성] 공격은 보스의 부식 갑옷을 약화시켜 받는 피해를 증폭시킴.
38,B-G004-MAIN,3,후반 페이즈 대응,"체력 50% 이하 '전체 서고 동기화' 발동 시, 지정된 안전지대로 즉시 이동. 안전지대는 주기적으로 바뀌므로 항상 맵을 주시해야 함."
